20,128,100,10,240,3,4.48083023712027,186.070229979143,5366.38450659998,3075582.29222152
40,1024,300,20,700,3,4.48083023712027,349.298812041682,17128.2170507301,36205501.7435561
10,16,20,5,60,3,4.48083023712027,82.7328507387702,1228.70688476233,159984.050097665
7,16,19,4,47,3,4.48083023712027,68.3785697975890,876.709533119381,76575.7594555582
5,1024,50,3,100,3,4.48083023712027,89.5449264175417,1613.47165831424,159910.979455732
5,32768,75,3,150,3,4.48083023712027,108.903917930583,2403.30655093760,302922.632290568
10,16384,140,5,280,3,4.48083023712027,176.477645887831,5320.94223995473,1.61265834500087e6
10,65536,160,5,320,3,4.48083023712027,188.381146979739,6072.00667822820,1.98842834403397e6
10,65536,160,5,320,3,4.48083023712027,188.381146979739,6072.00667822820,1.98842834403397e6
10,65536,160,5,320,3,4.48083023712027,188.381146979739,6072.00667822820,1.98842834403397e6
10,65536,160,5,320,3,4.48083023712027,188.381146979739,6072.00667822820,7.98186006477024e6
10,256,80,5,160,3,4.48083023712027,134.399270642405,3063.21047563438,2.84730315793441e6
15,65536,240,8,480,3,4.48083023712027,249.216051813832,9838.21749142210,2.53427593976609e7
10,131072,170,5,340,3,4.48083023712027,194.053412699515,6447.33970214193,8.73608581889632e6
-------------------------
20,262144,360,10,720,3,4.48083023712027,319.984630547929,15470.8846033889,6.10110178692153e7
40,524288,760,20,1520,3,4.48083023712027,513.581058139720,36078.6738903173,4.13455935936785e8
