

40,10,39.525525638018735,4.965308062004624,0.00032449900754727423
40,20,64.38426213301136,9.932659616024466,0.00032413899316452444
40,30,28.181021137017524,14.50021185199148,0.0003194980090484023
40,40,35.828072357981,18.73403606400825,0.00032599398400634527

60,10,46.38884836103534,13.993394776014611,0.0005270880064927042
60,20,55.442236942995805,26.65197335096309,0.0005405039992183447
60,30,266.1963575609843,39.42937913100468,0.0006065249908715487
60,40,353.89844581700163,52.632256479002535,0.0005670599639415741

80,10,219.53823310299776,50.98968077101745,0.001295830006711185
80,20,602.5208985019708,100.68217209901195,0.0009969630045816302
80,30,263.9813354869839,149.5686043149908,0.0012893970124423504
80,40,338.1657794099883,198.57063509104773,0.0013031389680691063


100,10,451.3417468169937,98.68902834298206,0.0015444000018760562
100,20,1268.6290270460013,192.06873137000366,0.0013586829882115126
100,30,1420.8872080970032,286.9660886969941,0.0017754769942257553
100,40,2454.1037893989997,380.21514899798785,0.0013870270049665123


========>


40,10,1.9,0.5,1.1
40,20,2.5,1,1.9
40,30,3.1,1.5, 3.1
40,40,3.7,1.9,3.8

60,10,4.6,1.4, 2.9
60,20,5.5,2.7,5.3
60,30,26.6,3.9,7.7
60,40,35.4,5.3,10.7

80,10,21.9,5.1,10.3
80,20,60.3,10.1,20.1
80,30,26.4,14.1,28
80,40,33.8,19.9,40


100,10,45.1,9.9, 19.9
100,20,126.9,19.2,38.2
100,30,142.1,28.7,57.4
100,40,245.4,38.0,76.4


